Births attended by skilled health staff (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,,96.6,,,97,99.7,,99.2,,99.8,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,24,,,26,,,,,31,,,39.6,,,,,,,,,62.6,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,47.7,,,,,55.3,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,,,,57,,67.5,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,,,,,,,,75.5,,,,,,,81.4,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,9,,,,11.9,12.9,,,15.4,,18.7,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,100,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,100,,,,,,96.6,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,,,66.9,,,,,,73.7,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,17.6,,15.7,,,,,,32.9,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,41.6,,,,35.2,,,,,38.9,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,91.1,,,,,94.7,,,,,98,98.1,98.6,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,18,,20,,23,23,,,31,,38.8,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,100,,,,100,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1,,,,,90,,,,,92.5,91.3,,91,91.5,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,53.2,,,,41,39,,,42,,53,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,60.8,,60.8,,,,,,77.1,,,,81.9,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,49.29999924,,,,,,80,,,,56.4,,,,59.3,,,,73.4,,71,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,,,,,56.4,46,58,,,59.8,,,,,61.8,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,99.8,,,99.9,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,99.7,,99.7,99.9,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,99.8,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,,99,,,,100,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,99,,,97.9,,,98.5,,98.9,98.1,98.2,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,99.1,,99.3,99.3,99.4,,99.4,99.5,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,31.3,,,,,38.6,,,52.1,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,99.4,,99.4,,99.5,,100,100,,100,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,100,,98,99,100,100,97.9,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,98,99.3,100,100,100,,100,100,,100,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,100,,,,,100,100,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,,,76.4,,,80.7,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,,,,,,93,,96,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,41.40000153,,,,,,,47.2,,,,46.6,,48.3,59.5,,58,,,51.9,,,,
