Mobile cellular subscriptions (per 100 people),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Guam,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635090392,0.936105915,1.349582104,2.855928246,3.411011418,3.934744137,3.800215701,8.497497816,13.07257896,17.53108222,20.68488544,43.9811349,48.91984012,59.06425347,,,,,
Guatemala,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003288395,0.013389689,0.02293806,0.031295589,0.106989453,0.299790549,0.424111813,0.612898772,1.039983442,3.079971768,7.629361436,9.963728943,13.37268042,16.82891054,25.55677073,35.48512959,55.09998866,89.09516856,109.2247566,
Guinea,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000603852,0.011231459,0.012703199,0.012343299,0.036357717,0.267576097,0.30625804,0.502316798,0.651494388,1.042640256,1.257052034,1.713393795,2.049720804,,20.80067411,39.05594955,
Guinea-Bissau,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090873778,2.743577618,6.710800977,10.44060508,19.22227846,31.74694658,
Guyana,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111974777,0.136448623,0.16525061,0.16379984,0.158049875,0.184559246,0.191992056,0.372176286,5.266714181,9.947502229,10.46342151,18.13169482,22.50771647,36.83627594,,,,
Haiti,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119997384,0.294410326,0.635994465,1.039538595,1.56350773,3.514364471,4.321009526,5.315626763,12.54646243,25.71993705,32.40046325,
Honduras,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040406675,0.246696605,0.584017932,1.287889986,2.492318997,3.736800334,5.031281011,5.729109798,10.46787269,18.59160667,31.86469129,58.33229372,84.85981766,
"Hong Kong, China",0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.018525723,0.080642205,0.18100858,0.501922905,0.911223257,1.568587106,2.34748006,3.297357441,4.022480821,4.928706999,8.0329887,12.96881142,21.16169684,34.36213459,48.51030762,64.70972527,81.73062266,86.03071057,94.83437375,109.1876449,121.0873295,125.407371,137.7279025,155.2379041,165.9593992,
Hungary,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025496463,0.081718626,0.224623725,0.441341085,1.382530136,2.565600716,4.588197848,6.858626502,10.42367607,15.9037678,30.12719358,48.75968533,67.78597028,78.42978643,86.34670955,92.39569547,98.95098681,109.6874633,121.7765896,
Iceland,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1.087242798,2.035772358,2.608643457,3.123466561,3.928571429,4.995736434,5.841057066,6.599317665,8.212406015,11.52350746,17.33518519,24.03235294,38.05839416,62.20324324,76.47544484,87.06350877,90.42986111,96.58844375,99.30565721,95.40286436,99.38771882,105.1587786,107.9697178,
India,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008225879,0.034568004,0.09134175,0.121708547,0.188616697,0.352102964,0.633430346,1.239700094,3.165167601,4.836433729,8.235099577,14.96200506,20.77015476,30.42988204,
Indonesia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.001099088,0.001249787,0.002738858,0.003751738,0.005252796,0.007410418,0.010201531,0.013606088,0.01941139,0.028740383,0.041342748,0.109995572,0.289563239,0.465030002,0.533550843,1.096704463,1.787471831,3.134112855,5.548752906,8.656574971,14.01596465,21.39952991,28.74609539,41.56631875,61.83473984,
